,prices
700,1027
701,1022
702,1023
703,1025
704,1026
705,1028
706,1060
707,1070
708,1077
709,1078
710,1078
711,1078
712,1095
713,1095
714,1096
715,1064
716,1067
717,1069
718,1071
719,1083
720,1069
721,1093
722,1102
723,1106
724,1110
725,1115
726,1113
727,1106
728,1101
729,1101
730,1109
731,1117
732,1125
733,1120
734,1127
735,1125
736,1121
737,1123
738,1125
739,1127
740,1121
741,1089
742,1083
743,1079
744,1079
745,1079
746,1079
747,1092
748,1094
749,1075
750,1071
751,1070
752,1068
753,1067
754,1051
755,1055
756,1047
757,1064
758,1059
759,1054
760,1048
761,1049
762,1080
763,1090
764,1104
765,1101
766,1098
767,1095
768,1091
769,1098
770,1104
771,1109
772,1113
773,1117
774,1121
775,1121
776,1125
777,1124
778,1125
779,1131
780,1137
781,1142
782,1139
783,1134
784,1124
785,1148
786,1146
787,1144
788,1142
789,1147
790,1144
791,1141
792,1146
793,1143
794,1140
795,1137
796,1160
797,1159
798,1158
799,1165
800,1165
801,1165
802,1165
803,1169
804,1178
805,1173
806,1176
807,1179
808,1181
809,1184
810,1165
811,1178
812,1180
813,1183
814,1183
815,1184
816,1185
817,1185
818,1182
819,1183
820,1183
821,1183
822,1184
823,1184
824,1193
825,1197
826,1221
827,1225
828,1224
829,1224
830,1223
831,1213
832,1218
833,1213
834,1199
835,1198
836,1198
837,1197
838,1178
839,1178
840,1196
841,1199
842,1199
843,1198
844,1197
845,1180
846,1198
847,1193
848,1189
849,1188
850,1188
851,1187
852,1180
853,1206
854,1221
855,1224
856,1224
857,1223
858,1223
859,1223
860,1228
861,1233
862,1240
863,1240
864,1240
865,1240
866,1241
867,1235
868,1242
869,1243
870,1244
871,1246
872,1247
873,1254
874,1258
875,1256
876,1256
877,1257
878,1257
879,1257
880,1258
881,1259
882,1257
883,1257
884,1262
885,1267
886,1271
887,1270
888,1276
889,1273
890,1271
891,1270
892,1270
893,1269
894,1274
895,1285
896,1283
897,1293
898,1293
899,1294
900,1294
901,1295
902,1281
903,1280
904,1283
905,1285
906,1288
907,1290
908,1291
909,1296
910,1299
911,1276
912,1279
913,1282
914,1286
915,1307
916,1304
917,1307
918,1310
919,1313
920,1316
921,1319
922,1324
923,1320
924,1321
925,1329
926,1330
927,1331
928,1332
929,1328
930,1336
931,1340
932,1343
933,1336
934,1329
935,1322
936,1315
937,1307
938,1306
939,1319
940,1322
941,1324
942,1327
943,1306
944,1308
945,1330
946,1321
947,1317
948,1313
949,1310
950,1321
951,1320
952,1295
953,1304
954,1301
955,1299
956,1296
957,1281
958,1256
959,1273
960,1279
961,1285
962,1291
963,1298
964,1293
965,1297
966,1309
967,1313
968,1312
969,1311
970,1310
971,1319
972,1328
973,1325
974,1332
975,1332
976,1332
977,1332
978,1332
979,1335
980,1333
981,1328
982,1326
983,1325
984,1324
985,1314
986,1314
987,1314
988,1319
989,1314
990,1309
991,1305
992,1312
993,1330
994,1337
995,1336
996,1336
997,1335
998,1335
999,1347
1000,1355
1001,1360
1002,1363
1003,1362
1004,1362
1005,1361
1006,1356
1007,1347
1008,1335
1009,1340
1010,1342
1011,1344
1012,1346
1013,1357
1014,1342
1015,1348
1016,1337
1017,1335
1018,1332
1019,1329
1020,1328
1021,1340
1022,1343
1023,1333
1024,1327
1025,1322
1026,1317
1027,1316
1028,1320
1029,1325
1030,1331
1031,1334
1032,1338
1033,1341
1034,1345
1035,1314
1036,1312
1037,1300
1038,1295
1039,1290
1040,1286
1041,1284
1042,1279
1043,1289
1044,1270
1045,1271
1046,1271
1047,1271
1048,1287
1049,1265
1050,1267
1051,1271
1052,1273
1053,1276
1054,1278
1055,1295
1056,1287
1057,1283
1058,1268
1059,1272
1060,1276
1061,1280
1062,1296
1063,1307
1064,1320
1065,1339
1066,1339
1067,1338
1068,1338
1069,1337
1070,1339
1071,1353
1072,1343
1073,1335
1074,1327
1075,1319
1076,1313
1077,1317
1078,1308
1079,1316
1080,1312
1081,1309
1082,1305
1083,1326
1084,1325
1085,1343
1086,1345
1087,1342
1088,1339
1089,1337
1090,1331
1091,1304
1092,1300
1093,1292
1094,1290
1095,1288
1096,1286
1097,1254
1098,1260
1099,1200
1100,1199
1101,1172
1102,1146
1103,1119
1104,1172
1105,1120
1106,1172
1107,1178
1108,1187
1109,1195
1110,1204
1111,1192
1112,1193
1113,1140
1114,1123
1115,1123
1116,1123
1117,1123
1118,1162
1119,1177
1120,1159
1121,1176
1122,1187
1123,1198
1124,1210
1125,1212
1126,1218
1127,1204
1128,1173
1129,1171
1130,1169
1131,1167
1132,1165
1133,1198
1134,1185
1135,1154
1136,1156
1137,1159
1138,1162
1139,1172
1140,1188
1141,1209
1142,1216
1143,1212
1144,1208
1145,1204
1146,1202
1147,1166
1148,1129
1149,1136
1150,1145
1151,1154
1152,1162
1153,1175
1154,1151
1155,1160
1156,1131
1157,1120
1158,1109
1159,1099
1160,1123
1161,1144
1162,1164
1163,1155
1164,1168
1165,1181
1166,1194
1167,1195
1168,1207
1169,1203
1170,1224
1171,1216
1172,1208
1173,1200
1174,1225
1175,1209
1176,1215
1177,1238
1178,1243
1179,1248
1180,1254
1181,1229
1182,1242
1183,1284
1184,1285
1185,1274
1186,1263
1187,1253
1188,1218
1189,1237
1190,1261
1191,1253
1192,1255
1193,1258
1194,1261
1195,1275
1196,1229
1197,1239
1198,1263
1199,1259
1200,1255
1201,1251
1202,1257
1203,1236
1204,1216
1205,1215
1206,1208
1207,1200
1208,1192
1209,1188
1210,1161
1211,1160
1212,1158
1213,1169
1214,1181
1215,1192
1216,1195
1217,1246
1218,1244
1219,1244
1220,1248
1221,1252
1222,1257
1223,1258
1224,1261
1225,1234
1226,1255
1227,1248
1228,1242
1229,1236
1230,1225
1231,1211
1232,1215
1233,1219
1234,1214
1235,1210
1236,1205
1237,1241
1238,1243
1239,1254
1240,1265
1241,1265
1242,1265
1243,1265
1244,1265
1245,1249
1246,1263
1247,1257
1248,1262
1249,1267
1250,1272
1251,1277
1252,1277
1253,1281
1254,1277
1255,1278
1256,1279
1257,1280
1258,1292
1259,1292
1260,1295
1261,1289
1262,1290
1263,1291
1264,1292
1265,1293
1266,1308
1267,1314
1268,1315
1269,1315
1270,1315
1271,1316
1272,1314
1273,1326
1274,1318
1275,1316
1276,1315
1277,1314
1278,1313
1279,1312
1280,1324
1281,1325
1282,1344
1283,1344
1284,1344
1285,1344
1286,1347
1287,1349
1288,1351
1289,1342
1290,1345
1291,1348
1292,1351
1293,1350
1294,1343
1295,1358
1296,1361
1297,1361
1298,1361
1299,1361
1300,1362
1301,1357
1302,1363
1303,1365
1304,1366
1305,1366
1306,1367
1307,1372
1308,1365
1309,1374
1310,1369
1311,1367
1312,1366
1313,1364
1314,1343
1315,1352
1316,1365
1317,1370
1318,1370
1319,1371
1320,1371
1321,1395
1322,1394
1323,1402
1324,1404
1325,1406
1326,1407
1327,1409
1328,1405
1329,1402
1330,1392
1331,1397
