,close,adj close
2007-01-01,12469.971875,12469.971875
2007-01-02,12472.245703,12472.245703
2007-01-03,12474.519531,12474.519531
2007-01-04,12480.69043,12480.69043
2007-01-05,12398.009766,12398.009766
2007-01-06,12406.503255333333,12406.503255333333
2007-01-07,12414.996744666667,12414.996744666667
2007-01-08,12423.490234,12423.490234
2007-01-09,12416.599609,12416.599609
2007-01-10,12442.160156,12442.160156
2007-01-11,12514.980469,12514.980469
2007-01-12,12556.080078,12556.080078
2007-01-13,12562.7075195,12562.7075195
2007-01-14,12569.334961,12569.334961
2007-01-15,12575.962402500001,12575.962402500001
2007-01-16,12582.589844,12582.589844
2007-01-17,12577.150391,12577.150391
2007-01-18,12567.929688,12567.929688
2007-01-19,12565.530273,12565.530273
2007-01-20,12536.073567333333,12536.073567333333
2007-01-21,12506.616861666667,12506.616861666667
2007-01-22,12477.160156,12477.160156
2007-01-23,12533.799805,12533.799805
2007-01-24,12621.769531,12621.769531
2007-01-25,12502.55957,12502.55957
2007-01-26,12487.019531,12487.019531
2007-01-27,12488.273111666667,12488.273111666667
2007-01-28,12489.526692333333,12489.526692333333
2007-01-29,12490.780273,12490.780273
2007-01-30,12523.30957,12523.30957
2007-01-31,12621.69043,12621.69043
2007-02-01,12673.679688,12673.679688
2007-02-02,12653.490234,12653.490234
2007-02-03,12656.240234,12656.240234
2007-02-04,12658.990234,12658.990234
2007-02-05,12661.740234,12661.740234
2007-02-06,12666.30957,12666.30957
2007-02-07,12666.870117,12666.870117
2007-02-08,12637.629883,12637.629883
2007-02-09,12580.830078,12580.830078
2007-02-10,12571.403320333335,12571.403320333335
2007-02-11,12561.976562666667,12561.976562666667
2007-02-12,12552.549805,12552.549805
2007-02-13,12654.849609,12654.849609
2007-02-14,12741.860352,12741.860352
2007-02-15,12765.009766,12765.009766
2007-02-16,12767.570313,12767.570313
2007-02-17,12772.33764675,12772.33764675
2007-02-18,12777.1049805,12777.1049805
2007-02-19,12781.87231425,12781.87231425
2007-02-20,12786.639648,12786.639648
2007-02-21,12738.410156,12738.410156
2007-02-22,12686.019531,12686.019531
2007-02-23,12647.480469,12647.480469
2007-02-24,12642.406901333334,12642.406901333334
2007-02-25,12637.333333666666,12637.333333666666
2007-02-26,12632.259766,12632.259766
2007-02-27,12216.240234,12216.240234
2007-02-28,12268.629883,12268.629883
2007-03-01,12234.339844,12234.339844
2007-03-02,12114.099609,12114.099609
2007-03-03,12092.869791333334,12092.869791333334
2007-03-04,12071.639973666666,12071.639973666666
2007-03-05,12050.410156,12050.410156
2007-03-06,12207.589844,12207.589844
2007-03-07,12192.450195,12192.450195
2007-03-08,12260.700195,12260.700195
