Change,Close,Date,Momentum
0.0,64.647141,2013-07-31,0
0.00917066077214451,65.239998,2013-08-01,1
0.012831744722003172,66.077141,2013-08-02,1
0.0149392662131069,67.064285,2013-08-05,1
0.008946609957893377,66.464287,2013-08-06,0
0.0005803718318680978,66.425713,2013-08-07,0
0.008537943732722859,65.858574,2013-08-08,0
0.014229718973265425,64.921425,2013-08-09,0
0.028408064055895417,66.76571700000001,2013-08-12,1
0.047522158715078186,69.938568,2013-08-13,1
0.018240565062756148,71.214287,2013-08-14,1
0.001183610811128331,71.129997,2013-08-15,0
0.00887715488023996,71.761429,2013-08-16,1
0.010769810617901542,72.534286,2013-08-19,1
0.01313664271817599,71.581429,2013-08-20,0
0.0025745225063893225,71.76571700000001,2013-08-21,1
0.0011942749767273526,71.851425,2013-08-22,1
0.0038570981716786806,71.574287,2013-08-23,0
0.003892068110996299,71.852859,2013-08-26,1
0.02859023327102398,69.798569,2013-08-27,0
0.00472791927868884,70.128571,2013-08-28,1
0.0016296924116705866,70.242859,2013-08-29,1
0.00911124645424812,69.602859,2013-08-30,0
0.0027913077536084094,69.79714200000001,2013-09-03,1
0.020692681084276788,71.24143199999999,2013-09-04,1
0.006858073824231765,70.752853,2013-09-05,0
0.005956409983919564,71.174286,2013-09-06,1
0.015956774051797275,72.309998,2013-09-09,1
0.022778883218887727,70.66285699999999,2013-09-10,0
0.054443666210665445,66.815712,2013-09-11,0
0.010647690172035961,67.52714499999999,2013-09-12,1
0.016480202146855097,66.414284,2013-09-13,0
0.03179177539578669,64.302856,2013-09-16,0
0.011552503982093667,65.045715,2013-09-17,1
0.020556972892065182,66.382858,2013-09-18,1
0.01639835995009441,67.471428,2013-09-19,1
0.01035356773536798,66.772858,2013-09-20,0
0.04969943026850821,70.091431,2013-09-23,1
0.0031387859665754836,69.871429,2013-09-24,0
0.015477399209911714,68.790001,2013-09-25,0
0.009739758544268557,69.459999,2013-09-26,1
0.007136654292206332,68.964287,2013-09-27,0
0.01242885321209799,68.10714,2013-09-30,0
0.02351342311540321,69.708572,2013-10-01,1
0.003278922425781339,69.937141,2013-10-02,1
0.012562280748651082,69.058571,2013-10-03,0
0.0007860429084175241,69.004288,2013-10-04,0
0.009771653610859589,69.678574,2013-10-07,1
0.013962154277152743,68.705711,2013-10-08,0
0.011747858922528371,69.512856,2013-10-09,1
0.006268106722589418,69.94856999999999,2013-10-10,1
0.0064741566553829545,70.40142800000001,2013-10-11,1
0.006554213644643525,70.862854,2013-10-14,1
0.005322167803176559,71.239998,2013-10-15,1
0.00487289457812747,71.58714300000001,2013-10-16,1
0.006764943811209097,72.071426,2013-10-17,1
0.008701701004223046,72.69856999999999,2013-10-18,1
0.02450437470778321,74.480003,2013-10-21,1
